log-ask9-nTradeBuy                      : -0.015996212790561536
log-nTradeBuy-ask9                      : 0.015996212790561536
log-bsize0-asize5_9                     : 0.015956132945268778
log-asize5_9-bsize0                     : -0.015956132945268778
log-high-low                            : 0.01594522009075042
log-low-high                            : -0.015945220090750407
log-tradeBuyTurnover-tradeBuyLow        : 0.015924859553710986
log-tradeBuyLow-tradeBuyTurnover        : -0.015924859553710983
log-tradeBuyTurnover-tradeBuyHigh       : 0.015916914728238588
log-tradeBuyHigh-tradeBuyTurnover       : -0.015916914728238588
log-tradeBuyTurnover-tradeSellLow       : 0.015904991003578416
log-tradeSellLow-tradeBuyTurnover       : -0.015904991003578416
log-bid19-addBuyTurnover                : -0.01589938703726865
log-addBuyTurnover-bid19                : 0.015899387037268644
log-tradeSellHigh-tradeBuyTurnover      : -0.015897723054111912
log-tradeBuyTurnover-tradeSellHigh      : 0.01589772305411191
high-low                                : 0.015887894890376984
log-atr0_4-tradeBuyTurnover             : -0.01588622954279499
log-tradeBuyTurnover-atr0_4             : 0.01588622954279499
log-tradeBuyTurnover-addSellTurnover    : 0.01587808763664824
log-addSellTurnover-tradeBuyTurnover    : -0.01587808763664824
log-tradeBuyTurnover-nCxlBuy            : 0.01587269804405691
log-nCxlBuy-tradeBuyTurnover            : -0.01587269804405691
log-asize0-bsize0                       : -0.01587125145679895
log-bsize0-asize0                       : 0.01587125145679895
log-bid9-addBuyTurnover                 : -0.015852048227681388
log-addBuyTurnover-bid9                 : 0.015852048227681385
log-tradeBuyTurnover-addSellHigh        : 0.015839912527527214
log-addSellHigh-tradeBuyTurnover        : -0.015839912527527214
log-nTradeBuy-ask19                     : 0.015837433636989234
log-ask19-nTradeBuy                     : -0.01583743363698923
log-addBuyHigh-addBuyTurnover           : -0.015836470881583492
log-addBuyTurnover-addBuyHigh           : 0.015836470881583485
tradeBuyLow-tradeBuyHigh                : -0.01580390014098762
log-addBuyTurnover-bid4                 : 0.015779948859028357
log-bid4-addBuyTurnover                 : -0.015779948859028357
log-tradeBuyLow-tradeBuyHigh            : -0.015753811587200055
log-tradeBuyHigh-tradeBuyLow            : 0.01575381158720005
log-addBuyTurnover-bid0                 : 0.015728912139072994
log-bid0-addBuyTurnover                 : -0.015728912139072994
log-midpx-addBuyTurnover                : -0.015728258830449687
log-addBuyTurnover-midpx                : 0.015728258830449683
log-addBuyTurnover-ask0                 : 0.015727605760984517
log-ask0-addBuyTurnover                 : -0.015727605760984514
log-addBuyQty-bid19                     : 0.015707793654578465
log-bid19-addBuyQty                     : -0.015707793654578462
log-tradeBuyTurnover-cxlBuyHigh         : 0.01570630022092757
log-cxlBuyHigh-tradeBuyTurnover         : -0.015706300220927567
tradeBuyHigh-tradeBuyLow                : 0.01570148016286135
log-bid9-addBuyQty                      : -0.015677093136301386
log-addBuyQty-bid9                      : 0.015677093136301383
log-ask4-addBuyTurnover                 : -0.015672730593057797
log-addBuyTurnover-ask4                 : 0.015672730593057797
log-nCxlSell-atr10_19                   : 0.015661544020460466
log-atr10_19-nCxlSell                   : -0.015661544020460466
log-atr0_4-bsize0                       : -0.015640649649751565
log-bsize0-atr0_4                       : 0.01564064964975156
log-addBuyQty-bid4                      : 0.015615767618366177
log-bid4-addBuyQty                      : -0.015615767618366175
log-addSellTurnover-addBuyQty           : -0.015596402599139872
log-addBuyQty-addSellTurnover           : 0.015596402599139868
log-cxlBuyLow-tradeBuyTurnover          : -0.015592187862350346
log-tradeBuyTurnover-cxlBuyLow          : 0.015592187862350346
log-addBuyTurnover-addSellTurnover      : 0.015586884979740485
log-addSellTurnover-addBuyTurnover      : -0.015586884979740485
log-bid0-addBuyQty                      : -0.015572386462158524
log-addBuyQty-bid0                      : 0.01557238646215852
log-midpx-addBuyQty                     : -0.015572240815971132
log-addBuyQty-midpx                     : 0.015572240815971125
log-addBuyQty-ask0                      : 0.015572094956782188
log-ask0-addBuyQty                      : -0.015572094956782186
log-nTradeBuy-btr10_19                  : 0.015566420124723437
log-btr10_19-nTradeBuy                  : -0.015566420124723437
nTradeBuy-nCxlBuy                       : 0.015553955031468855
addBuyQty-nCxlBuy                       : 0.015552005132916815
log-addBuyTurnover-ask9                 : 0.015536716294437891
log-ask9-addBuyTurnover                 : -0.015536716294437891
log-addBuyQty-ask4                      : 0.015526192797411402
log-ask4-addBuyQty                      : -0.015526192797411398
log-tradeBuyTurnover-cxlSellLow         : 0.015514304478047861
log-cxlSellLow-tradeBuyTurnover         : -0.01551430447804786
log-tradeBuyLow-addBuyTurnover          : -0.015491086840775374
log-addBuyTurnover-tradeBuyLow          : 0.015491086840775372
log-addBuyTurnover-tradeBuyHigh         : 0.015479984738980412
log-tradeBuyHigh-addBuyTurnover         : -0.01547998473898041
cxlSellQty-atr0_4                       : 0.015461730358584107
log-tradeBuyQty-btr5_9                  : 0.015437169238937728
log-btr5_9-tradeBuyQty                  : -0.015437169238937721
log-ask9-addBuyQty                      : -0.015406496275762965
log-addBuyQty-ask9                      : 0.015406496275762963
log-tradeBuyTurnover-cxlSellHigh        : 0.01540311443663195
log-cxlSellHigh-tradeBuyTurnover        : -0.015403114436631948
log-ask19-addBuyTurnover                : -0.015399560273004445
log-addBuyTurnover-ask19                : 0.015399560273004443
log-lastpx-tradeBuyTurnover             : -0.015363830746446896
log-tradeBuyTurnover-lastpx             : 0.015363830746446896
log-low-tradeBuyTurnover                : -0.015363783453870142
log-tradeBuyTurnover-low                : 0.01536378345387014
log-high-tradeBuyTurnover               : -0.01535599355346115
log-tradeBuyTurnover-high               : 0.01535599355346115
log-open-tradeBuyTurnover               : -0.015350512596339521
log-tradeBuyTurnover-open               : 0.01535051259633952
log-asize5_9-bsize0_4                   : -0.01532972117255331
log-bsize0_4-asize5_9                   : 0.01532972117255331
log-addBuyHigh-addBuyQty                : -0.0152937340333152
log-addBuyQty-addBuyHigh                : 0.015293734033315196
log-ask19-addBuyQty                     : -0.01528947335374956
log-addBuyQty-ask19                     : 0.015289473353749559
log-addBuyHigh-nTradeBuy                : -0.015176263246660224
log-nTradeBuy-addBuyHigh                : 0.015176263246660222
nTradeSell-addSellLow                   : 0.015140551855155988
log-atr5_9-bsize0_4                     : -0.015127609157014188
log-bsize0_4-atr5_9                     : 0.015127609157014187
log-nCxlSell-nAddSell                   : 0.015125873913513433
log-nAddSell-nCxlSell                   : -0.015125873913513431
log-btr5_9-addBuyQty                    : -0.015123308388940883
log-addBuyQty-btr5_9                    : 0.015123308388940883
log-tradeBuyLow-nTradeBuy               : -0.015081768100014707
log-nTradeBuy-tradeBuyLow               : 0.015081768100014704
log-asize0_4-bsize0                     : -0.015076912350201548
log-bsize0-asize0_4                     : 0.015076912350201546
log-cxlBuyTurnover-addBuyTurnover       : -0.01507649574701348
log-addBuyTurnover-cxlBuyTurnover       : 0.01507649574701348
log-nTradeBuy-asize10_19                : 0.01507044860776697
log-asize10_19-nTradeBuy                : -0.015070448607766967
log-nTradeBuy-tradeBuyHigh              : 0.015068539407965962
log-tradeBuyHigh-nTradeBuy              : -0.015068539407965962
nAddBuy-nAddSell                        : 0.015048189210807365
addBuyTurnover-nAddSell                 : 0.015044055689448124
log-btr0_4-atr5_9                       : 0.0150217467618118
log-atr5_9-btr0_4                       : -0.015021746761811798
log-addBuyQty-addSellQty                : 0.015005921459288066
log-addSellQty-addBuyQty                : -0.015005921459288064
log-bid19-tradeBuyTurnover              : -0.01496172261809897
log-tradeBuyTurnover-bid19              : 0.014961722618098966
log-tradeBuyLow-addBuyQty               : -0.014930049550940457
log-addBuyQty-tradeBuyLow               : 0.014930049550940457
log-bid9-tradeBuyTurnover               : -0.014925404563282325
log-tradeBuyTurnover-bid9               : 0.014925404563282323
log-tradeBuyTurnover-cxlBuyQty          : 0.014922537512346849
log-cxlBuyQty-tradeBuyTurnover          : -0.014922537512346847
log-tradeBuyHigh-addBuyQty              : -0.01491790444882217
log-addBuyQty-tradeBuyHigh              : 0.014917904448822163
log-bsize10_19-tradeBuyQty              : -0.01491149808234433
log-tradeBuyQty-bsize10_19              : 0.014911498082344328
asize10_19-btr0_4                       : -0.014892007625013434
log-cxlBuyTurnover-addBuyQty            : -0.01488614722167248
log-addBuyQty-cxlBuyTurnover            : 0.014886147221672478
log-bid4-tradeBuyTurnover               : -0.014871910802642985
log-tradeBuyTurnover-bid4               : 0.014871910802642985
log-bid0-tradeBuyTurnover               : -0.014833839476435882
log-tradeBuyTurnover-bid0               : 0.01483383947643588
log-midpx-tradeBuyTurnover              : -0.014833275819435393
log-tradeBuyTurnover-midpx              : 0.014833275819435393
log-ask0-tradeBuyTurnover               : -0.014832712534903566
log-tradeBuyTurnover-ask0               : 0.014832712534903566
cxlSellTurnover-addSellLow              : 0.014808117115125703
ask19-ask0                              : 0.014795527369103308
log-ask4-tradeBuyTurnover               : -0.014794735376006595
